ticker,date,timestamp,open,high,low,close,volume
AAPL,2022-11-10,2022-11-10T09:00:00,134.87,135.8,134.87,135.5,11506
AAPL,2022-11-10,2022-11-10T09:05:00,135.45,135.78,135.45,135.78,4753
AAPL,2022-11-10,2022-11-10T09:10:00,135.8,135.8,135.63,135.63,4549
AAPL,2022-11-10,2022-11-10T09:15:00,135.67,135.67,135.48,135.51,7503
AAPL,2022-11-10,2022-11-10T09:20:00,135.51,135.63,135.5,135.63,6425
AAPL,2022-11-10,2022-11-10T09:25:00,135.6,135.6,135.59,135.6,2280
AAPL,2022-11-10,2022-11-10T09:30:00,135.65,135.65,135.52,135.52,5118
AAPL,2022-11-10,2022-11-10T09:35:00,135.55,135.75,135.55,135.7,3701
AAPL,2022-11-10,2022-11-10T09:40:00,135.65,135.65,135.59,135.59,691
AAPL,2022-11-10,2022-11-10T09:45:00,135.65,135.69,135.65,135.65,869
AAPL,2022-11-10,2022-11-10T09:50:00,135.63,135.63,135.51,135.51,1418
AAPL,2022-11-10,2022-11-10T09:55:00,135.52,135.52,135.52,135.52,613
AAPL,2022-11-10,2022-11-10T10:00:00,135.6,135.6,135.48,135.48,1999
AAPL,2022-11-10,2022-11-10T10:05:00,135.52,135.58,135.48,135.5,1246
AAPL,2022-11-10,2022-11-10T10:10:00,135.5,135.55,135.38,135.45,8257
AAPL,2022-11-10,2022-11-10T10:15:00,135.45,135.46,135.45,135.45,6808
AAPL,2022-11-10,2022-11-10T10:20:00,135.4,135.5,135.4,135.5,590
AAPL,2022-11-10,2022-11-10T10:25:00,135.49,135.59,135.4,135.59,7326
AAPL,2022-11-10,2022-11-10T10:35:00,135.56,135.56,135.55,135.55,1395
AAPL,2022-11-10,2022-11-10T10:40:00,135.56,135.7,135.56,135.7,3166
AAPL,2022-11-10,2022-11-10T10:50:00,135.63,135.65,135.6,135.65,1994
AAPL,2022-11-10,2022-11-10T10:55:00,135.6,135.98,135.6,135.98,5264
AAPL,2022-11-10,2022-11-10T11:00:00,135.83,135.83,135.62,135.62,2655
AAPL,2022-11-10,2022-11-10T11:05:00,135.8,135.8,135.8,135.8,501
AAPL,2022-11-10,2022-11-10T11:10:00,135.89,135.89,135.85,135.85,964
AAPL,2022-11-10,2022-11-10T11:15:00,135.92,135.94,135.85,135.85,2110
AAPL,2022-11-10,2022-11-10T11:20:00,135.96,136,135.95,136,8052
AAPL,2022-11-10,2022-11-10T11:25:00,135.96,136.05,135.86,135.86,3160
AAPL,2022-11-10,2022-11-10T11:30:00,135.98,135.98,135.95,135.95,1697
AAPL,2022-11-10,2022-11-10T11:35:00,136.04,136.05,135.95,135.95,2497
AAPL,2022-11-10,2022-11-10T11:40:00,135.97,136.05,135.97,136.04,1917
AAPL,2022-11-10,2022-11-10T11:45:00,136.1,136.19,136.1,136.19,2233
AAPL,2022-11-10,2022-11-10T11:50:00,136.09,136.09,136.08,136.09,1617
AAPL,2022-11-10,2022-11-10T11:55:00,136.06,136.06,136,136,1763
AAPL,2022-11-10,2022-11-10T12:00:00,136,136.05,135.75,135.75,19971
AAPL,2022-11-10,2022-11-10T12:05:00,135.8,135.83,135.73,135.75,18082
AAPL,2022-11-10,2022-11-10T12:10:00,135.83,136,135.83,135.97,8598
AAPL,2022-11-10,2022-11-10T12:15:00,135.95,135.95,135.91,135.91,928
AAPL,2022-11-10,2022-11-10T12:20:00,135.89,135.91,135.8,135.81,4782
AAPL,2022-11-10,2022-11-10T12:25:00,135.73,135.8,135.7,135.75,8856
AAPL,2022-11-10,2022-11-10T12:30:00,135.78,135.8,135.71,135.71,5127
AAPL,2022-11-10,2022-11-10T12:35:00,135.7,135.73,135.65,135.66,4000
AAPL,2022-11-10,2022-11-10T12:40:00,135.64,135.69,135.57,135.6,9122
AAPL,2022-11-10,2022-11-10T12:45:00,135.58,135.7,135.55,135.6,7698
AAPL,2022-11-10,2022-11-10T12:50:00,135.61,135.63,135.6,135.63,5798
AAPL,2022-11-10,2022-11-10T12:55:00,135.56,135.74,135.56,135.74,9251
AAPL,2022-11-10,2022-11-10T13:00:00,135.9216,136.0499,135.4515,135.63,77044
AAPL,2022-11-10,2022-11-10T13:05:00,135.664,135.69,135.47,135.5,41336
AAPL,2022-11-10,2022-11-10T13:10:00,135.5799,135.9,135.51,135.8165,34820
AAPL,2022-11-10,2022-11-10T13:15:00,135.77,135.77,135.63,135.71,31526
AAPL,2022-11-10,2022-11-10T13:20:00,135.72,135.75,135.57,135.57,24562
