ticker,date,timestamp,open,high,low,close,volume,market
XMR,2025-02-01,2025-02-01T00:00:00,282.71,283.14,282.19,282.66,6209,Binance
XMR,2025-02-01,2025-02-01T00:00:05,282.53,283.02,281.55,281.98,35463,Binance
XMR,2025-02-01,2025-02-01T00:00:10,283.16,283.62,282.22,283.15,45354,Binance
XMR,2025-02-01,2025-02-01T00:00:15,283.44,283.88,283.1,283.37,13641,Binance
XMR,2025-02-01,2025-02-01T00:00:20,283.77,284.99,283.03,284.55,35208,Binance
XMR,2025-02-01,2025-02-01T00:00:25,285.94,286.48,285.81,286.48,6224,Binance
XMR,2025-02-01,2025-02-01T00:00:30,287.82,289.06,286.42,287.84,24229,Binance
XMR,2025-02-01,2025-02-01T00:00:35,287.23,288.7,285.86,288.49,10149,Binance
XMR,2025-02-01,2025-02-01T00:00:40,289.28,289.68,288.55,288.93,28480,Binance
XMR,2025-02-01,2025-02-01T00:00:45,289.81,290.71,289.02,289.47,13130,Binance
XMR,2025-02-01,2025-02-01T00:00:50,288.98,289.57,288.27,288.86,40610,Binance
XMR,2025-02-01,2025-02-01T00:00:55,287.78,288.11,287.11,287.37,6826,Binance
XMR,2025-02-01,2025-02-01T00:01:00,288.46,289.92,287.61,287.76,32617,Binance
XMR,2025-02-01,2025-02-01T00:01:05,288.95,289.3,288.8,289.09,42087,Binance
XMR,2025-02-01,2025-02-01T00:01:10,288.09,288.78,287.6,288.06,5986,Binance
XMR,2025-02-01,2025-02-01T00:01:15,287.31,287.74,286.73,286.82,34074,Binance
XMR,2025-02-01,2025-02-01T00:01:20,286.73,287.01,285.58,286.31,28857,Binance
XMR,2025-02-01,2025-02-01T00:01:25,285.19,285.98,284.73,284.82,15499,Binance
XMR,2025-02-01,2025-02-01T00:01:30,285.01,286.36,284.8,285.61,36089,Binance
XMR,2025-02-01,2025-02-01T00:01:35,284.99,286.1,284.6,285.47,20930,Binance
XMR,2025-02-01,2025-02-01T00:01:40,286.9,288.26,286.64,287.96,44464,Binance
XMR,2025-02-01,2025-02-01T00:01:45,288.09,288.41,286.83,286.91,12529,Binance
XMR,2025-02-01,2025-02-01T00:01:50,286.42,287.5,285.75,286.84,9900,Binance
XMR,2025-02-01,2025-02-01T00:01:55,286.32,287.48,285.64,287.04,4490,Binance
XMR,2025-02-01,2025-02-01T00:02:00,286.73,287.74,285.66,287.04,26872,Binance
XMR,2025-02-01,2025-02-01T00:02:05,288.53,288.96,287.05,287.38,45498,Binance
XMR,2025-02-01,2025-02-01T00:02:10,286.07,287.52,284.58,285.56,46805,Binance
XMR,2025-02-01,2025-02-01T00:02:15,284.55,284.82,283.27,283.63,25105,Binance
XMR,2025-02-01,2025-02-01T00:02:20,283.23,283.56,282.76,283.25,40189,Binance
XMR,2025-02-01,2025-02-01T00:02:25,284.27,284.52,283.41,283.58,25507,Binance
XMR,2025-02-01,2025-02-01T00:02:30,283.86,285.05,283.33,284.01,28875,Binance
XMR,2025-02-01,2025-02-01T00:02:35,285.1,285.8,284.74,285.33,43061,Binance
XMR,2025-02-01,2025-02-01T00:02:40,284.59,285.45,283.25,283.71,29623,Binance
XMR,2025-02-01,2025-02-01T00:02:45,284.63,284.79,283.67,283.76,23158,Binance
XMR,2025-02-01,2025-02-01T00:02:50,283.41,284.2,281.95,283.0,28012,Binance
XMR,2025-02-01,2025-02-01T00:02:55,283.6,285.04,282.77,284.7,44983,Binance
XMR,2025-02-01,2025-02-01T00:03:00,283.38,284.21,282.79,282.96,30018,Binance
XMR,2025-02-01,2025-02-01T00:03:05,283.45,284.56,282.89,283.36,39856,Binance
XMR,2025-02-01,2025-02-01T00:03:10,284.35,285.36,283.47,284.16,43945,Binance
XMR,2025-02-01,2025-02-01T00:03:15,283.54,283.99,282.84,283.54,42779,Binance
XMR,2025-02-01,2025-02-01T00:03:20,283.9,284.55,283.41,283.85,37589,Binance
XMR,2025-02-01,2025-02-01T00:03:25,283.91,284.29,283.04,284.06,14114,Binance
XMR,2025-02-01,2025-02-01T00:03:30,285.04,285.46,284.57,285.32,24979,Binance
XMR,2025-02-01,2025-02-01T00:03:35,285.6,285.75,284.91,284.93,16058,Binance
XMR,2025-02-01,2025-02-01T00:03:40,284.04,284.48,283.86,284.06,34687,Binance
XMR,2025-02-01,2025-02-01T00:03:45,284.27,284.54,283.01,284.44,16391,Binance
XMR,2025-02-01,2025-02-01T00:03:50,284.45,285.95,283.81,284.77,21763,Binance
XMR,2025-02-01,2025-02-01T00:03:55,285.63,287.05,284.46,286.84,38301,Binance
XMR,2025-02-01,2025-02-01T00:04:00,287.79,288.1,287.41,287.51,47698,Binance
XMR,2025-02-01,2025-02-01T00:04:05,288.16,288.37,287.5,288.18,29628,Binance
XMR,2025-02-01,2025-02-01T00:04:10,288.56,289.89,288.42,288.77,22833,Binance
XMR,2025-02-01,2025-02-01T00:04:15,287.72,288.66,287.06,287.39,33522,Binance
XMR,2025-02-01,2025-02-01T00:04:20,287.74,287.95,287.59,287.89,48581,Binance
XMR,2025-02-01,2025-02-01T00:04:25,286.5,286.65,285.49,285.52,34543,Binance
XMR,2025-02-01,2025-02-01T00:04:30,284.49,284.75,283.23,283.32,5030,Binance
XMR,2025-02-01,2025-02-01T00:04:35,283.61,285.02,282.39,284.28,46857,Binance
XMR,2025-02-01,2025-02-01T00:04:40,285.12,286.55,284.81,285.72,4583,Binance
XMR,2025-02-01,2025-02-01T00:04:45,285.94,286.06,284.85,285.14,43561,Binance
XMR,2025-02-01,2025-02-01T00:04:50,284.23,284.98,283.85,284.85,12267,Binance
XMR,2025-02-01,2025-02-01T00:04:55,285.78,285.94,285.17,285.78,39212,Binance
XMR,2025-02-01,2025-02-01T00:05:00,286.21,286.81,285.46,286.44,9143,Binance
XMR,2025-02-01,2025-02-01T00:05:05,285.16,285.57,284.39,284.68,22506,Binance
XMR,2025-02-01,2025-02-01T00:05:10,284.59,285.65,284.3,285.12,11790,Binance
XMR,2025-02-01,2025-02-01T00:05:15,284.8,285.45,284.52,285.38,26977,Binance
XMR,2025-02-01,2025-02-01T00:05:20,285.3,285.99,284.04,285.07,28397,Binance
XMR,2025-02-01,2025-02-01T00:05:25,284.94,286.29,284.8,286.25,49556,Binance
XMR,2025-02-01,2025-02-01T00:05:30,287.19,288.51,285.92,286.73,32777,Binance
XMR,2025-02-01,2025-02-01T00:05:35,286.74,286.98,285.8,286.85,8466,Binance
XMR,2025-02-01,2025-02-01T00:05:40,286.15,286.37,285.92,285.99,11110,Binance
XMR,2025-02-01,2025-02-01T00:05:45,287.3,288.66,286.94,288.5,18446,Binance
XMR,2025-02-01,2025-02-01T00:05:50,288.27,289.3,287.2,288.51,39310,Binance
XMR,2025-02-01,2025-02-01T00:05:55,289.48,289.99,288.86,289.18,4288,Binance
XMR,2025-02-01,2025-02-01T00:06:00,288.88,289.86,287.68,289.67,6599,Binance
XMR,2025-02-01,2025-02-01T00:06:05,288.24,289.59,287.72,288.59,46957,Binance
XMR,2025-02-01,2025-02-01T00:06:10,287.29,287.64,286.91,287.33,26372,Binance
XMR,2025-02-01,2025-02-01T00:06:15,286.73,287.49,285.57,285.87,35251,Binance
XMR,2025-02-01,2025-02-01T00:06:20,285.79,286.42,285.54,286.37,40905,Binance
XMR,2025-02-01,2025-02-01T00:06:25,287.27,287.39,286.96,287.2,44200,Binance
XMR,2025-02-01,2025-02-01T00:06:30,286.79,287.21,285.48,285.9,26389,Binance
XMR,2025-02-01,2025-02-01T00:06:35,284.5,285.15,283.45,283.96,17965,Binance
XMR,2025-02-01,2025-02-01T00:06:40,284.2,284.8,283.89,284.21,14504,Binance
XMR,2025-02-01,2025-02-01T00:06:45,283.05,283.47,282.26,282.75,15486,Binance
XMR,2025-02-01,2025-02-01T00:06:50,283.13,283.92,281.94,282.85,34646,Binance
XMR,2025-02-01,2025-02-01T00:06:55,281.88,282.37,280.46,281.39,38079,Binance
XMR,2025-02-01,2025-02-01T00:07:00,280.26,280.89,279.11,279.31,36473,Binance
XMR,2025-02-01,2025-02-01T00:07:05,277.98,278.84,277.56,277.98,6268,Binance
XMR,2025-02-01,2025-02-01T00:07:10,277.81,277.91,276.52,277.31,33559,Binance
XMR,2025-02-01,2025-02-01T00:07:15,278.61,279.39,277.32,278.7,48393,Binance
XMR,2025-02-01,2025-02-01T00:07:20,278.03,278.59,277.87,278.18,20843,Binance
XMR,2025-02-01,2025-02-01T00:07:25,277.78,278.47,276.45,276.86,3015,Binance
XMR,2025-02-01,2025-02-01T00:07:30,276.18,276.59,275.14,276.36,48693,Binance
XMR,2025-02-01,2025-02-01T00:07:35,275.47,276.57,274.65,274.83,32890,Binance
XMR,2025-02-01,2025-02-01T00:07:40,274.1,275.07,272.64,274.42,8224,Binance
