ticker,date,timestamp,open,high,low,close,volume,market
OPEN,2025-02-26,2025-02-26T00:00:00,58.37,59.5,58.01,59.39,24645,NASDAQ
OPEN,2025-02-26,2025-02-26T00:00:05,59.81,60.3,58.44,59.08,10928,NASDAQ
OPEN,2025-02-26,2025-02-26T00:00:10,59.82,61.0,59.18,60.33,9998,NASDAQ
OPEN,2025-02-26,2025-02-26T00:00:15,58.95,59.23,58.15,58.31,18449,NASDAQ
OPEN,2025-02-26,2025-02-26T00:00:20,58.98,59.44,58.62,59.22,2565,NASDAQ
OPEN,2025-02-26,2025-02-26T00:00:25,58.69,60.02,57.86,59.18,6755,NASDAQ
OPEN,2025-02-26,2025-02-26T00:00:30,60.3,61.22,59.15,61.01,46317,NASDAQ
OPEN,2025-02-26,2025-02-26T00:00:35,60.71,60.9,60.44,60.62,4228,NASDAQ
OPEN,2025-02-26,2025-02-26T00:00:40,59.29,59.45,57.98,59.1,35547,NASDAQ
OPEN,2025-02-26,2025-02-26T00:00:45,59.92,60.6,59.56,59.63,14102,NASDAQ
OPEN,2025-02-26,2025-02-26T00:00:50,60.15,61.16,59.16,60.26,40962,NASDAQ
OPEN,2025-02-26,2025-02-26T00:00:55,60.6,61.6,59.46,60.27,14586,NASDAQ
OPEN,2025-02-26,2025-02-26T00:01:00,61.07,61.42,60.63,60.66,3905,NASDAQ
OPEN,2025-02-26,2025-02-26T00:01:05,61.45,61.87,60.33,60.77,13453,NASDAQ
OPEN,2025-02-26,2025-02-26T00:01:10,59.34,60.4,58.5,58.91,43858,NASDAQ
OPEN,2025-02-26,2025-02-26T00:01:15,59.87,60.03,58.89,59.1,42880,NASDAQ
OPEN,2025-02-26,2025-02-26T00:01:20,60.39,60.53,59.17,60.49,48111,NASDAQ
OPEN,2025-02-26,2025-02-26T00:01:25,59.23,59.87,57.88,58.58,14736,NASDAQ
OPEN,2025-02-26,2025-02-26T00:01:30,59.16,60.46,58.24,60.21,43094,NASDAQ
OPEN,2025-02-26,2025-02-26T00:01:35,59.26,59.45,58.8,58.92,16009,NASDAQ
OPEN,2025-02-26,2025-02-26T00:01:40,60.04,61.42,59.42,59.89,5585,NASDAQ
OPEN,2025-02-26,2025-02-26T00:01:45,59.78,60.68,59.41,60.24,36277,NASDAQ
OPEN,2025-02-26,2025-02-26T00:01:50,60.07,60.42,59.52,60.03,45384,NASDAQ
OPEN,2025-02-26,2025-02-26T00:01:55,58.79,59.44,58.53,58.84,18544,NASDAQ
OPEN,2025-02-26,2025-02-26T00:02:00,60.14,60.75,59.24,60.21,2046,NASDAQ
OPEN,2025-02-26,2025-02-26T00:02:05,60.3,61.29,60.09,61.14,26077,NASDAQ
OPEN,2025-02-26,2025-02-26T00:02:10,61.75,62.07,61.63,61.78,23768,NASDAQ
OPEN,2025-02-26,2025-02-26T00:02:15,62.98,64.18,62.45,62.98,6462,NASDAQ
