ticker,date,timestamp,open,high,low,close,volume,market
GME,2025-06-13,2025-06-13T00:00:00,127.18,128.45,125.99,126.5,23992,NYSE
GME,2025-06-13,2025-06-13T00:00:05,125.49,125.61,124.15,125.07,47544,NYSE
GME,2025-06-13,2025-06-13T00:00:10,125.25,126.26,124.54,124.75,23044,NYSE
GME,2025-06-13,2025-06-13T00:00:15,125.25,126.32,124.06,126.28,37803,NYSE
GME,2025-06-13,2025-06-13T00:00:20,125.59,126.32,124.99,126.02,40344,NYSE
GME,2025-06-13,2025-06-13T00:00:25,125.8,126.7,125.12,126.23,2875,NYSE
GME,2025-06-13,2025-06-13T00:00:30,125.62,125.84,124.29,125.3,40893,NYSE
GME,2025-06-13,2025-06-13T00:00:35,124.41,125.08,124.08,124.26,25244,NYSE
GME,2025-06-13,2025-06-13T00:00:40,124.09,125.0,123.37,123.87,32456,NYSE
GME,2025-06-13,2025-06-13T00:00:45,122.4,122.74,122.29,122.39,30158,NYSE
GME,2025-06-13,2025-06-13T00:00:50,122.16,122.89,121.13,121.7,44567,NYSE
GME,2025-06-13,2025-06-13T00:00:55,120.61,121.76,120.51,121.27,10419,NYSE
GME,2025-06-13,2025-06-13T00:01:00,122.45,123.34,121.38,122.03,34163,NYSE
GME,2025-06-13,2025-06-13T00:01:05,120.77,120.93,119.56,120.42,26103,NYSE
GME,2025-06-13,2025-06-13T00:01:10,120.8,121.42,120.37,121.35,17502,NYSE
GME,2025-06-13,2025-06-13T00:01:15,122.66,123.57,121.57,123.17,39164,NYSE
GME,2025-06-13,2025-06-13T00:01:20,124.57,125.87,124.42,125.22,1053,NYSE
GME,2025-06-13,2025-06-13T00:01:25,125.17,125.58,123.89,125.27,38365,NYSE
GME,2025-06-13,2025-06-13T00:01:30,126.53,127.3,125.61,126.54,47090,NYSE
GME,2025-06-13,2025-06-13T00:01:35,125.8,126.63,125.39,126.54,20705,NYSE
GME,2025-06-13,2025-06-13T00:01:40,127.39,128.55,126.3,128.0,2529,NYSE
GME,2025-06-13,2025-06-13T00:01:45,128.78,129.04,127.28,127.73,48199,NYSE
GME,2025-06-13,2025-06-13T00:01:50,129.04,129.59,127.93,128.71,35154,NYSE
GME,2025-06-13,2025-06-13T00:01:55,127.23,128.17,125.76,126.76,29717,NYSE
GME,2025-06-13,2025-06-13T00:02:00,125.79,125.98,124.78,125.16,7201,NYSE
GME,2025-06-13,2025-06-13T00:02:05,123.96,125.13,123.72,124.87,19475,NYSE
