ticker,date,timestamp,open,high,low,close,volume,market
ETH,2025-06-17,2025-06-17T00:00:00,12.5,13.2,11.27,12.8,28411,Coinbase
ETH,2025-06-17,2025-06-17T00:00:05,13.43,13.66,12.29,13.1,6200,Coinbase
ETH,2025-06-17,2025-06-17T00:00:10,12.32,13.81,11.48,11.97,26399,Coinbase
ETH,2025-06-17,2025-06-17T00:00:15,12.55,12.81,11.13,11.74,13496,Coinbase
ETH,2025-06-17,2025-06-17T00:00:20,12.01,13.16,11.67,12.46,48989,Coinbase
ETH,2025-06-17,2025-06-17T00:00:25,13.07,13.45,12.02,12.71,27964,Coinbase
ETH,2025-06-17,2025-06-17T00:00:30,13.12,13.88,12.32,13.66,26995,Coinbase
ETH,2025-06-17,2025-06-17T00:00:35,14.48,15.52,13.65,14.56,41184,Coinbase
ETH,2025-06-17,2025-06-17T00:00:40,15.46,15.61,14.23,15.59,34428,Coinbase
ETH,2025-06-17,2025-06-17T00:00:45,15.78,16.82,15.02,16.4,44301,Coinbase
ETH,2025-06-17,2025-06-17T00:00:50,14.97,15.3,14.68,15.22,28979,Coinbase
ETH,2025-06-17,2025-06-17T00:00:55,14.29,14.54,13.21,14.22,17769,Coinbase
ETH,2025-06-17,2025-06-17T00:01:00,14.5,15.92,13.65,13.72,17974,Coinbase
ETH,2025-06-17,2025-06-17T00:01:05,14.86,15.63,14.46,15.46,18313,Coinbase
ETH,2025-06-17,2025-06-17T00:01:10,14.33,15.7,13.67,15.11,13862,Coinbase
ETH,2025-06-17,2025-06-17T00:01:15,15.9,17.39,14.96,15.72,9432,Coinbase
ETH,2025-06-17,2025-06-17T00:01:20,16.64,17.31,16.14,16.65,14260,Coinbase
ETH,2025-06-17,2025-06-17T00:01:25,17.44,18.52,16.46,18.2,33673,Coinbase
ETH,2025-06-17,2025-06-17T00:01:30,17.3,18.6,17.14,17.76,15302,Coinbase
ETH,2025-06-17,2025-06-17T00:01:35,17.98,18.89,17.05,17.99,47515,Coinbase
ETH,2025-06-17,2025-06-17T00:01:40,16.94,17.19,15.62,15.78,39425,Coinbase
ETH,2025-06-17,2025-06-17T00:01:45,16.23,16.77,16.05,16.74,47214,Coinbase
ETH,2025-06-17,2025-06-17T00:01:50,16.11,16.57,15.43,15.71,7800,Coinbase
ETH,2025-06-17,2025-06-17T00:01:55,17.03,18.06,16.46,17.08,27527,Coinbase
ETH,2025-06-17,2025-06-17T00:02:00,17.05,18.18,16.79,18.14,14645,Coinbase
ETH,2025-06-17,2025-06-17T00:02:05,16.82,16.99,15.84,16.41,30118,Coinbase
ETH,2025-06-17,2025-06-17T00:02:10,16.73,17.01,15.91,16.66,13579,Coinbase
ETH,2025-06-17,2025-06-17T00:02:15,16.99,17.7,16.43,17.47,30826,Coinbase
ETH,2025-06-17,2025-06-17T00:02:20,16.27,17.14,14.92,16.82,48311,Coinbase
ETH,2025-06-17,2025-06-17T00:02:25,17.63,18.07,16.96,18.0,47183,Coinbase
ETH,2025-06-17,2025-06-17T00:02:30,17.0,18.19,16.12,17.61,26305,Coinbase
ETH,2025-06-17,2025-06-17T00:02:35,17.32,18.21,16.4,17.96,15608,Coinbase
ETH,2025-06-17,2025-06-17T00:02:40,17.27,18.35,16.08,17.94,48397,Coinbase
ETH,2025-06-17,2025-06-17T00:02:45,18.69,19.35,17.82,18.66,21501,Coinbase
ETH,2025-06-17,2025-06-17T00:02:50,17.43,17.86,16.5,17.34,15067,Coinbase
ETH,2025-06-17,2025-06-17T00:02:55,16.79,17.81,15.3,16.83,34590,Coinbase
ETH,2025-06-17,2025-06-17T00:03:00,17.92,18.58,17.0,18.24,46874,Coinbase
ETH,2025-06-17,2025-06-17T00:03:05,16.82,17.54,15.51,17.41,8201,Coinbase
ETH,2025-06-17,2025-06-17T00:03:10,16.5,17.58,15.02,17.19,48591,Coinbase
ETH,2025-06-17,2025-06-17T00:03:15,16.72,17.99,16.03,16.56,6002,Coinbase
ETH,2025-06-17,2025-06-17T00:03:20,15.99,17.24,15.24,15.55,16576,Coinbase
ETH,2025-06-17,2025-06-17T00:03:25,15.06,15.25,14.31,14.69,30162,Coinbase
ETH,2025-06-17,2025-06-17T00:03:30,13.22,14.2,13.05,13.69,40317,Coinbase
ETH,2025-06-17,2025-06-17T00:03:35,12.96,13.57,12.49,12.96,49005,Coinbase
ETH,2025-06-17,2025-06-17T00:03:40,14.04,15.51,13.74,14.68,18909,Coinbase
ETH,2025-06-17,2025-06-17T00:03:45,15.22,16.46,14.37,16.26,20600,Coinbase
ETH,2025-06-17,2025-06-17T00:03:50,15.69,16.38,14.75,15.21,22138,Coinbase
ETH,2025-06-17,2025-06-17T00:03:55,16.7,17.15,16.55,17.09,19145,Coinbase
ETH,2025-06-17,2025-06-17T00:04:00,17.44,17.94,16.33,17.48,18199,Coinbase
ETH,2025-06-17,2025-06-17T00:04:05,18.93,20.01,18.64,19.87,37867,Coinbase
ETH,2025-06-17,2025-06-17T00:04:10,19.85,19.96,19.19,19.48,37530,Coinbase
ETH,2025-06-17,2025-06-17T00:04:15,18.2,19.46,17.9,18.42,30114,Coinbase
ETH,2025-06-17,2025-06-17T00:04:20,17.33,18.68,16.61,18.26,15625,Coinbase
ETH,2025-06-17,2025-06-17T00:04:25,17.71,19.15,16.55,19.04,6881,Coinbase
ETH,2025-06-17,2025-06-17T00:04:30,20.08,20.88,18.86,20.6,27245,Coinbase
ETH,2025-06-17,2025-06-17T00:04:35,19.7,21.18,18.83,20.04,12803,Coinbase
ETH,2025-06-17,2025-06-17T00:04:40,19.63,20.67,19.05,20.3,44473,Coinbase
ETH,2025-06-17,2025-06-17T00:04:45,19.95,20.84,18.58,19.72,37294,Coinbase
ETH,2025-06-17,2025-06-17T00:04:50,19.44,19.89,18.26,19.22,29305,Coinbase
ETH,2025-06-17,2025-06-17T00:04:55,18.86,19.3,18.73,19.2,11155,Coinbase
ETH,2025-06-17,2025-06-17T00:05:00,20.64,20.84,19.85,20.78,7516,Coinbase
ETH,2025-06-17,2025-06-17T00:05:05,20.78,21.13,20.61,20.72,21418,Coinbase
ETH,2025-06-17,2025-06-17T00:05:10,19.29,20.4,18.67,18.95,6884,Coinbase
ETH,2025-06-17,2025-06-17T00:05:15,19.53,19.77,19.0,19.17,5792,Coinbase
ETH,2025-06-17,2025-06-17T00:05:20,19.59,21.0,18.48,19.51,43499,Coinbase
ETH,2025-06-17,2025-06-17T00:05:25,19.14,19.55,18.04,18.7,47623,Coinbase
ETH,2025-06-17,2025-06-17T00:05:30,17.98,19.02,16.82,18.87,32618,Coinbase
ETH,2025-06-17,2025-06-17T00:05:35,17.54,18.88,16.3,17.07,4838,Coinbase
ETH,2025-06-17,2025-06-17T00:05:40,17.93,19.08,17.01,17.05,36298,Coinbase
ETH,2025-06-17,2025-06-17T00:05:45,16.6,17.37,15.93,16.66,30675,Coinbase
ETH,2025-06-17,2025-06-17T00:05:50,16.13,16.27,15.69,15.87,9627,Coinbase
ETH,2025-06-17,2025-06-17T00:05:55,15.24,15.58,14.91,15.08,27600,Coinbase
ETH,2025-06-17,2025-06-17T00:06:00,15.4,16.29,14.13,14.97,29810,Coinbase
ETH,2025-06-17,2025-06-17T00:06:05,15.41,16.76,14.91,16.23,30218,Coinbase
ETH,2025-06-17,2025-06-17T00:06:10,15.02,15.27,14.22,14.51,20318,Coinbase
ETH,2025-06-17,2025-06-17T00:06:15,13.16,13.29,11.85,11.89,31157,Coinbase
ETH,2025-06-17,2025-06-17T00:06:20,12.96,13.38,11.98,12.99,17623,Coinbase
ETH,2025-06-17,2025-06-17T00:06:25,11.81,12.66,11.36,11.57,44512,Coinbase
ETH,2025-06-17,2025-06-17T00:06:30,10.5,10.76,9.86,10.32,38973,Coinbase
ETH,2025-06-17,2025-06-17T00:06:35,9.38,10.18,8.52,10.15,7309,Coinbase
ETH,2025-06-17,2025-06-17T00:06:40,9.29,10.12,8.01,8.57,28144,Coinbase
ETH,2025-06-17,2025-06-17T00:06:45,8.89,9.73,7.82,8.48,35176,Coinbase
ETH,2025-06-17,2025-06-17T00:06:50,8.94,10.18,7.67,10.03,44378,Coinbase
ETH,2025-06-17,2025-06-17T00:06:55,9.2,9.84,8.78,9.58,6797,Coinbase
ETH,2025-06-17,2025-06-17T00:07:00,10.99,11.34,9.91,10.92,6888,Coinbase
ETH,2025-06-17,2025-06-17T00:07:05,11.74,12.3,10.73,11.88,10858,Coinbase
ETH,2025-06-17,2025-06-17T00:07:10,12.75,13.37,11.77,13.35,27443,Coinbase
