ticker,date,timestamp,open,high,low,close,volume
GOOGL,2022-11-10,2022-11-10T09:00:00,87.69,87.69,87.45,87.45,579
GOOGL,2022-11-10,2022-11-10T09:05:00,87.39,87.83,87.39,87.83,11561
GOOGL,2022-11-10,2022-11-10T09:10:00,87.54,87.54,87.5,87.5,390
GOOGL,2022-11-10,2022-11-10T09:15:00,87.41,87.41,87.34,87.34,977
GOOGL,2022-11-10,2022-11-10T09:20:00,87.47,87.49,87.47,87.49,1039
GOOGL,2022-11-10,2022-11-10T09:40:00,87.65,87.65,87.65,87.65,307
GOOGL,2022-11-10,2022-11-10T09:45:00,87.65,87.65,87.65,87.65,630
GOOGL,2022-11-10,2022-11-10T09:50:00,87.65,87.66,87.51,87.51,1094
GOOGL,2022-11-10,2022-11-10T09:55:00,87.56,87.56,87.5,87.5,519
GOOGL,2022-11-10,2022-11-10T10:00:00,87.53,87.61,87.52,87.52,500
GOOGL,2022-11-10,2022-11-10T10:05:00,87.54,87.54,87.54,87.54,194
GOOGL,2022-11-10,2022-11-10T10:10:00,87.44,87.44,87.32,87.33,3196
GOOGL,2022-11-10,2022-11-10T10:15:00,87.3,87.3,87.3,87.3,1156
GOOGL,2022-11-10,2022-11-10T10:25:00,87.41,87.41,87.26,87.26,984
GOOGL,2022-11-10,2022-11-10T10:40:00,87.36,87.36,87.36,87.36,124
GOOGL,2022-11-10,2022-11-10T10:50:00,87.55,87.55,87.55,87.55,210
GOOGL,2022-11-10,2022-11-10T10:55:00,87.48,87.48,87.47,87.47,737
GOOGL,2022-11-10,2022-11-10T11:00:00,87.52,87.52,87.52,87.52,377
GOOGL,2022-11-10,2022-11-10T11:10:00,87.6,87.6,87.6,87.6,172
GOOGL,2022-11-10,2022-11-10T11:25:00,87.61,87.61,87.56,87.56,1877
GOOGL,2022-11-10,2022-11-10T11:45:00,87.68,87.68,87.68,87.68,580
GOOGL,2022-11-10,2022-11-10T12:00:00,87.63,87.71,87.63,87.71,1929
GOOGL,2022-11-10,2022-11-10T12:05:00,87.71,87.71,87.69,87.69,2475
GOOGL,2022-11-10,2022-11-10T12:10:00,87.69,87.71,87.65,87.66,6016
GOOGL,2022-11-10,2022-11-10T12:20:00,87.7,87.7,87.7,87.7,2503
